Model,MAE,Train_t,Pred_t
PatchTST,0.37,41.83,0.31
TimesNet,0.1,517.7,0.46
Avgvalue,0.03,0.0,0.02
Movingmax,1.94,0.0,0.02
Maxvalue,0.03,0.0,0.01
Movingavg,0.26,0.0,0.02
PatchTST,0.47,41.81,0.31
Movingavg,0.07,0.0,0.02
Movingmax,1.15,0.0,0.02
Dsp,0.02,0.0,0.01
Dsp,0.0,0.0,0.0
Movingavg,0.24,0.0,0.03
NHITS,0.34,2.0,0.16
Movingmax,0.82,0.0,0.02
Dsp,0.02,0.0,0.01
TimesNet,0.32,559.61,0.34
Maxvalue,0.01,0.0,0.01
Avgvalue,0.08,0.0,0.02
TimesNet,0.22,332.85,0.38
Dsp,0.02,0.0,0.01
PatchTST,0.79,42.03,0.32
NBEATS,0.36,2.33,0.17
NHITS,0.05,2.05,0.15
NHITS,1.71,2.03,0.17
TimesNet,0.77,575.8,0.35
NHITS,1.11,2.02,0.18
MLP,0.73,1.07,0.14
MLP,3.0,1.07,0.14
TimesNet,0.18,669.44,0.26
NBEATS,0.57,2.32,0.17
MLP,0.76,2.05,0.14
NBEATS,0.5,2.28,0.17
NHITS,1.13,2.21,0.15
Avgvalue,0.02,0.0,0.02
TimesNet,0.19,548.72,0.47
Avgvalue,0.06,0.0,0.02
PatchTST,0.18,41.84,0.32
NHITS,0.79,2.0,0.38
Movingmax,1.19,0.0,0.02
NBEATS,4.27,2.28,0.17
Avgvalue,0.02,0.0,0.01
Avgvalue,0.52,0.0,0.02
Avgvalue,0.02,0.0,0.01
Maxvalue,0.1,0.0,0.01
NHITS,0.38,2.01,0.18
Maxvalue,0.2,0.0,0.01
Movingavg,0.05,0.0,0.02
MLP,0.34,1.01,0.14
TimesNet,0.36,551.19,0.48
Dsp,0.01,0.0,0.01
NHITS,0.11,2.04,0.18
TimesNet,0.92,602.47,0.29
Maxvalue,0.02,0.0,0.01
NHITS,0.13,2.0,0.34
Movingmax,0.24,0.0,0.02
Dsp,0.04,0.0,0.0
Maxvalue,0.05,0.0,0.01
Movingavg,0.31,0.0,0.02
Maxvalue,0.12,0.0,0.01
Movingmax,1.12,0.0,0.02
Dsp,0.01,0.0,0.01
Maxvalue,0.05,0.0,0.01
Dsp,0.04,0.0,0.0
MLP,0.5,1.06,0.16
Movingavg,0.26,0.0,0.02
Movingmax,0.26,0.0,0.02
NHITS,0.46,2.02,0.15
NBEATS,0.05,2.31,0.18
Dsp,0.01,0.0,0.01
Maxvalue,0.1,0.0,0.01
