model_name,trace_name,pattern,log_dict,extra_parameters
TimesNet,4,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 1.2595160007476807, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 8.700306826697794, 'mse': 75.69533887868425, 'r2': -0.388147680389739, 'mae': 6.772156276452046, 'crane_error': 6.772156276452046, 'cold_start_invocation_ratio': 0.4887082452915198, 'utilization_ratio': 0.828219837516224, 'over_provisioned_ratio': 0.20740889640959725, 'cold_start_time_slot_ratio': 0.5652777777777778}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,4,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0009281635284423828, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 10.043308994328292, 'mse': 100.86805555555556, 'r2': -0.849780441161315, 'mae': 7.970833333333333, 'crane_error': 7.970833333333333, 'cold_start_invocation_ratio': 0.13641230637447355, 'utilization_ratio': 0.5942059721750933, 'over_provisioned_ratio': 0.6829181240631023, 'cold_start_time_slot_ratio': 0.21875}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,4,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007324934005737305, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 5.576086715211265, 'mse': 31.09274305555556, 'r2': 0.4298021544140571, 'mae': 4.167847222222222, 'crane_error': 4.167847222222222, 'cold_start_invocation_ratio': 0.21666785637804256, 'utilization_ratio': 0.8252530131837837, 'over_provisioned_ratio': 0.21174958954957543, 'cold_start_time_slot_ratio': 0.44305555555555554}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,5,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4402439594268799, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 8.623862046461532, 'mse': 74.37099659639968, 'r2': -0.3621855844954893, 'mae': 7.02050448665814, 'crane_error': 7.02050448665814, 'cold_start_invocation_ratio': 0.3647606710607353, 'utilization_ratio': 0.7375416366265619, 'over_provisioned_ratio': 0.355855656602514, 'cold_start_time_slot_ratio': 0.45208333333333334}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,5,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008590221405029297, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 10.045244867321276, 'mse': 100.90694444444445, 'r2': -0.8482202926989364, 'mae': 7.970833333333333, 'crane_error': 7.970833333333333, 'cold_start_invocation_ratio': 0.1360039917314135, 'utilization_ratio': 0.5944743421331412, 'over_provisioned_ratio': 0.6821583862000142, 'cold_start_time_slot_ratio': 0.21805555555555556}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,5,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007148027420043945, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 5.578449978862109, 'mse': 31.119104166666663, 'r2': 0.430019805593153, 'mae': 4.170486111111111, 'crane_error': 4.170486111111111, 'cold_start_invocation_ratio': 0.21649440444792908, 'utilization_ratio': 0.8253663817194494, 'over_provisioned_ratio': 0.2115831491909617, 'cold_start_time_slot_ratio': 0.4388888888888889}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,15,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.735579252243042, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 112.6931822788942, 'mse': 12699.753332144073, 'r2': -0.29499012690968907, 'mae': 69.78652902536857, 'crane_error': 69.78652902536857, 'cold_start_invocation_ratio': 0.4929049695939072, 'utilization_ratio': 0.7429644342716869, 'over_provisioned_ratio': 0.3459594482208007, 'cold_start_time_slot_ratio': 0.4263888888888889}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,15,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008587837219238281, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 85.26008819423593, 'mse': 7269.282638888889, 'r2': 0.25875337883528526, 'mae': 51.736805555555556, 'crane_error': 51.736805555555556, 'cold_start_invocation_ratio': 0.13472903936692376, 'utilization_ratio': 0.6724181480379665, 'over_provisioned_ratio': 0.48716985542088215, 'cold_start_time_slot_ratio': 0.2611111111111111}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,15,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007343769073486328, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 79.02427347727476, 'mse': 6244.835798611111, 'r2': 0.3632159230286198, 'mae': 34.972430555555555, 'crane_error': 34.972430555555555, 'cold_start_invocation_ratio': 0.2103960065444589, 'utilization_ratio': 0.8264546052236699, 'over_provisioned_ratio': 0.20998781261477809, 'cold_start_time_slot_ratio': 0.4361111111111111}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,25,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4088706970214844, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 44.296590274589214, 'mse': 1962.1879099548316, 'r2': -0.35341604680972827, 'mae': 25.96287325288243, 'crane_error': 25.96287325288243, 'cold_start_invocation_ratio': 0.6403942748726186, 'utilization_ratio': 0.8823401610844678, 'over_provisioned_ratio': 0.133349748889271, 'cold_start_time_slot_ratio': 0.6375}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
