method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,2.312964634635743e-17,0.8724100327153814,0.14624999999999783,0.003472222222222222,0.027157943208393896,0.0015129310344827605,0.14625000000000024,0.10863176733255386,0.006051723845303059,1.0013580322265625e-05,0.005617856979370117
Icebreaker,Icebreaker,0.9676496058236194,0.5159961068476655,0.9379991180732373,0.03333333333333333,0.3538700842306942,1.0000194098868214,0.9713663458602588,0.8764162659645081,1.094177007675171,2.86102294921875e-06,0.008020877838134766
SmartPred,SmartPred,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06431388854980469,0.06343603134155273
NHITS,NHITS,0.0005732129017512003,0.983802097422181,0.01646459447511006,0.015277777777777777,0.0031638414026417257,3.293244489557965e-05,0.015742995810190546,0.012336039915680885,0.00012792659981641918,3.3924458026885986,0.1363828182220459
NBEATS,NBEATS,0.10877931738893191,0.6333407475857544,0.578928884351626,0.029861111111111113,0.12770420708934513,0.0581444915290618,0.5799073109098164,0.4502173662185669,0.17584460973739624,3.077214002609253,0.08735370635986328
DLinear,DLinear,0.2836262558897336,0.7603526338120398,0.31517924122454133,0.03333333333333333,0.11119538928891298,0.0966273041258617,0.324959456944877,0.2867773175239563,0.11854397505521774,1.8827779293060303,0.14303278923034668
Movingavg,Movingavg,0.9750000000000009,0.506329113924049,0.9749999999999782,0.03333333333333333,0.36210590944525123,1.0215517241379317,1.0086206896551724,0.9052647352218628,1.1359914541244507,3.0994415283203125e-06,0.010386943817138672
Movingmax,Movingmax,1.0,0.047619047619047616,20.0,0.03333333333333333,3.89960210171809,21.72413793103449,20.034482758620687,15.0413236618042,83.79310607910156,6.9141387939453125e-06,0.008661985397338867
Movingmin,Movingmin,1.0,1.0,0.0,0.03333333333333333,0.18569533817705192,1.0344827586206902,0.03448275862068965,0.1856953352689743,1.034482717514038,3.0994415283203125e-06,0.008412837982177734
Maxvalue,Maxvalue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86102294921875e-06,0.0044708251953125
Minvalue,Minvalue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86102294921875e-06,0.004264116287231445
Avgvalue,Avgvalue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0994415283203125e-06,0.0068547725677490234
Quantile,Quantile,0.0,0.9999999999999999,6.661338147750939e-16,0.0,1.1842378929335003e-16,4.20725816117873e-31,2.199074560103656e-17,0.0,0.0,3.0994415283203125e-06,0.4556288719177246
