method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.4006949636428617,0.604810818669544,0.6534095772291317,0.10902777777777778,0.2954471014893577,0.39673515155554784,0.9594854708757504,1.702471375465393,2.5540881156921387,0.0017459392547607422,0.005722999572753906
Icebreaker,Icebreaker,0.711148219879297,0.5710428123498954,0.7511821852461565,0.17916666666666667,0.40986568491268877,0.6115987742547577,1.059866759180039,1.8113387823104858,3.1977970600128174,3.0994415283203125e-06,0.00662684440612793
SmartPred,SmartPred,0.35657437901235356,0.49532340582656403,1.0188829928827277,0.08958333333333333,0.3855166902254358,0.9225287108478603,1.2469423279579386,2.9769766330718994,8.737667083740234,0.13900399208068848,0.14425396919250488
NHITS,NHITS,0.6041749267694753,0.6978394992969916,0.43299426445107636,0.15625,0.2907004186194717,0.4696397231394397,0.7314735369442208,1.4386125802993774,2.6313652992248535,3.3803799152374268,0.1307079792022705
NBEATS,NBEATS,0.6971484432482394,0.6630575434904138,0.5081647284123803,0.16041666666666668,0.3378282410770112,0.5572581966616752,0.7473172633134983,1.5441958904266357,2.9907400608062744,3.079329013824463,0.08917117118835449
DLinear,DLinear,0.6282563181651273,0.6197000051050716,0.613684027371353,0.15138888888888888,0.3480941985203004,0.5299754774829154,0.9145907036961884,1.6517837047576904,2.925351858139038,1.8958611488342285,0.14329886436462402
Movingavg,Movingavg,0.6944884389200752,0.5902120408936022,0.6943063352044885,0.1798611111111111,0.38925493124168115,0.6180713609650357,0.9881590223144959,1.7773715257644653,3.326648712158203,4.0531158447265625e-06,0.010427236557006836
Movingmax,Movingmax,0.1442796043838546,0.14866623615319657,5.72647687784015,0.04861111111111111,1.6454705572068844,5.349524817358401,6.038698395850738,9.449158668518066,33.075408935546875,3.0994415283203125e-06,0.00862884521484375
Movingmin,Movingmin,1.0,1.0,0.0,0.21875,0.28028254317636675,0.7468381067246412,0.5020076493303045,1.0282833576202393,3.6768696308135986,3.0994415283203125e-06,0.008660078048706055
Maxvalue,Maxvalue,0.2620288692862871,0.4809719722293649,1.079123229083133,0.075,0.3759015209173019,1.03194247638547,1.3061501749517916,3.3172383308410645,10.096549034118652,3.0994415283203125e-06,0.00463104248046875
Minvalue,Minvalue,0.7242047580860732,0.883822573976729,0.1314488104784817,0.16597222222222222,0.23982475827520716,0.5450661859734747,0.43992696741895343,1.045253038406372,2.8738386631011963,4.601478576660156e-05,0.004473209381103516
Avgvalue,Avgvalue,0.40862514479194506,0.6645153650304934,0.504856099082242,0.125,0.25603284617696803,0.5202628992500675,0.770249141314554,1.7748980522155762,3.9603826999664307,4.0531158447265625e-06,0.007133007049560547
Quantile,Quantile,0.6507952407470976,0.6271978551931894,0.5943932073746967,0.14652777777777778,0.34900458497340997,0.9014657154078923,0.9937625385896073,2.152719497680664,6.190105438232422,4.0531158447265625e-06,0.6735928058624268
