method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.6784962272660375,0.48061676824267047,1.0806598231193696,0.07361111111111111,0.25295836119391585,0.58824332597595,0.9453414854372244,1.1721354722976685,2.9085237979888916,7.867813110351562e-06,0.005593061447143555
SmartPred,SmartPred,0.22154635430513603,0.7839059250527942,0.2756632754531727,0.06388888888888888,0.07149640481635477,0.0561851413019612,0.2870904566457534,0.5336460471153259,0.5199155211448669,0.0793159008026123,0.0781707763671875
NHITS,NHITS,0.45827269442717117,0.6209102137492142,0.6105388152044481,0.0763888888888889,0.1536900650981904,0.23507136450566155,0.5941553377967261,0.7505615949630737,1.2339297533035278,3.363358974456787,0.13483500480651855
NBEATS,NBEATS,0.4485674573845734,0.5394185650032637,0.8538479482884493,0.07291666666666667,0.1872812059740671,0.2619659456810583,0.7702788996197023,0.8776445388793945,1.1985479593276978,3.089956045150757,0.08831214904785156
DLinear,DLinear,0.7705647626672266,0.5310986098891508,0.8828895074847152,0.075,0.23775894264473127,0.6692890007343741,0.8100637780039532,1.0751838684082031,3.2005863189697266,1.8736639022827148,0.14248991012573242
Movingavg,Movingavg,0.7967900302114802,0.5565480569158588,0.7967900302114733,0.08333333333333333,0.2291493130626908,0.9497758624089018,0.7384663773578913,1.1627490520477295,5.200046062469482,4.0531158447265625e-06,0.010313987731933594
Movingmax,Movingmax,0.09818731117824774,0.2907334211682038,2.4395770392749245,0.018055555555555554,0.36491857049653575,1.575022491646621,1.9036443513136456,2.3493804931640625,10.445616722106934,4.0531158447265625e-06,0.008570194244384766
Movingmin,Movingmin,1.0,1.0,0.0,0.08472222222222223,0.14379529385042064,0.9817563197434941,0.1558400753341253,0.6622837781906128,4.806937217712402,2.86102294921875e-06,0.008482933044433594
Maxvalue,Maxvalue,0.14501510574018128,0.4171392564587272,1.3972809667673716,0.03888888888888889,0.22177491695057322,0.2748238279143552,1.1642543776211467,1.3034979104995728,1.7867965698242188,3.0994415283203125e-06,0.004342079162597656
Minvalue,Minvalue,0.29607250755287007,0.9807407407407407,0.019637462235649546,0.07916666666666666,0.0453976078772476,0.03770759567180893,0.15727031261774962,0.18311093747615814,0.1639431118965149,3.0994415283203125e-06,0.004304170608520508
Avgvalue,Avgvalue,0.20594159113796578,0.6718538565629217,0.4884189325276938,0.06388888888888888,0.0998457755386355,0.05919224377630708,0.47150759275791965,0.5082070231437683,0.3041594922542572,4.0531158447265625e-06,0.007321834564208984
Quantile,Quantile,0.2333836800381978,0.7476001947115527,0.3376133487844127,0.06597222222222222,0.08210668554726437,0.1087405327647823,0.37822248073066833,0.5417303442955017,0.8088107705116272,5.7220458984375e-06,0.6503469944000244
