method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.16262524718478297,0.8094005350177044,0.23548225722154686,0.42916666666666664,0.4871696885219719,0.4038861340342942,1.2033875239519902,2.0108580589294434,1.825021505355835,0.0008361339569091797,0.0066449642181396484
Icebreaker,Icebreaker,0.3459558383303294,0.7983402178047829,0.2525988014855697,0.4395833333333333,0.7324596351865609,0.9242737908401332,0.9810529159625307,2.31261944770813,3.020655393600464,3.814697265625e-06,0.011123895645141602
SmartPred,SmartPred,0.07165233481489952,0.6412019609609223,0.559571025798755,0.21180555555555555,0.7724368030603175,1.05761191431251,2.320292017178971,4.13499641418457,6.262913703918457,0.8270361423492432,0.7845897674560547
NHITS,NHITS,0.40255879946772777,0.9483562445648265,0.05445607147224656,0.7194444444444444,0.5592554520110083,0.6043762609490924,1.146729180186494,1.2575805187225342,1.5460156202316284,3.419408082962036,0.1343982219696045
NBEATS,NBEATS,0.4673517453259529,0.9425435762714347,0.060958904367959844,0.7243055555555555,0.6465010877854024,0.8230169261576394,1.2638203660479361,1.498331069946289,2.1191117763519287,3.081143856048584,0.08473801612854004
DLinear,DLinear,0.17931256595261857,0.7939439677863906,0.25953472861330235,0.39791666666666664,0.5370235361958439,0.4857030739263243,1.3384642286304778,2.118137836456299,2.039398670196533,1.8977782726287842,0.14709186553955078
Movingavg,Movingavg,0.22052238805970167,0.8095536372834994,0.23524860360772837,0.40694444444444444,0.557733299650007,0.5476437196856292,1.473187628796391,2.2955729961395264,2.447361707687378,3.814697265625e-06,0.010706901550292969
Movingmax,Movingmax,0.015383206666056222,0.4420204800259036,1.2623386136800658,0.03819444444444445,1.5635659573008795,3.365693048445039,5.211222513991016,8.455962181091309,19.752845764160156,3.0994415283203125e-06,0.009289979934692383
Movingmin,Movingmin,0.7384854866770443,0.9945360167562153,0.005494002380734365,0.8770833333333333,0.9104180452249999,1.5375378850685157,2.0639327207222946,1.5172886848449707,3.196988821029663,0.001628875732421875,0.00919198989868164
Maxvalue,Maxvalue,0.07618349967951653,0.6435853615416347,0.5537954399780239,0.17847222222222223,0.7709139878335999,0.9967120392288087,2.1804544098370005,4.01659631729126,5.719233512878418,4.0531158447265625e-06,0.004910707473754883
Minvalue,Minvalue,0.3625125904221225,0.9166526775222428,0.09092573940115374,0.6243055555555556,0.55487878891744,0.6141762438797459,1.281410168281965,1.4283198118209839,1.686806082725525,3.0994415283203125e-06,0.004754066467285156
Avgvalue,Avgvalue,0.16607148307542052,0.7974443227455275,0.2540060434026192,0.3784722222222222,0.5140547100074533,0.4781205265172249,1.2178932083167018,2.1678967475891113,2.2044050693511963,3.0994415283203125e-06,0.007493734359741211
Quantile,Quantile,0.26462777176299307,0.7395794525329303,0.3521197710065832,0.4666666666666667,0.7547225434893592,1.0930827085001185,2.003289483823112,2.854510545730591,4.41990852355957,3.0994415283203125e-06,1.1411359310150146
