method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.015051857882546569,0.9890232522018289,0.011098574046398635,0.5513888888888889,0.06257210558920916,0.00709179991970205,0.48792449644314717,0.21647949516773224,0.02890181355178356,5.0067901611328125e-06,0.005361795425415039
Icebreaker,Icebreaker,0.2099162850984947,0.9995925427935224,0.0004076232955268697,0.9694444444444444,0.5032578368007362,0.3038458746875166,4.440093360356957,0.6986443400382996,0.43719401955604553,3.0994415283203125e-06,0.006882905960083008
SmartPred,SmartPred,0.0003338504387316982,0.9605233121851129,0.041099145969795754,0.02847222222222222,0.09913984721919927,0.018637603249231787,0.6361222372939697,0.578768253326416,0.12260185927152634,1.226588249206543,1.2224090099334717
NHITS,NHITS,0.029284128971355936,0.9904453839412871,0.00964678740860238,0.6965277777777777,0.09315293212098316,0.013915662170969005,0.5446101684178506,0.23786187171936035,0.036840878427028656,3.7477967739105225,0.13316106796264648
NBEATS,NBEATS,0.06638999097254049,0.9165725631822206,0.09102109333071366,0.41944444444444445,0.37664934233965475,0.21949888143677296,1.8197539244908396,1.3753314018249512,0.76296067237854,3.312070846557617,0.08966660499572754
DLinear,DLinear,0.06146204226457753,0.9589132207692946,0.04284723407791132,0.5861111111111111,0.24958865195690375,0.10868913207941662,1.1766634182771216,0.7391937375068665,0.3188723623752594,2.070388078689575,0.0718529224395752
Movingavg,Movingavg,0.02808736772772709,0.971672695083889,0.02915313465061925,0.4895833333333333,0.13696365584053022,0.0358722102827226,1.0869938384952258,0.46985355019569397,0.12748724222183228,4.0531158447265625e-06,0.010556221008300781
Movingmax,Movingmax,0.001630168553831756,0.9558957092287379,0.046139228731187254,0.10069444444444445,0.11430143023919298,0.024548096139391188,0.7484520985085705,0.5775173902511597,0.12231723219156265,3.814697265625e-06,0.008323907852172852
Movingmin,Movingmin,0.04180167035203694,0.9984758448120922,0.0015264817830365253,0.8069444444444445,0.1036745288853241,0.02868915186397585,0.8224992673763492,0.21435724198818207,0.07052943855524063,3.814697265625e-06,0.007717132568359375
Maxvalue,Maxvalue,0.003660782543737612,0.952022505519317,0.05039533645742147,0.29305555555555557,0.12934414219519993,0.039699304700493904,1.286158442049823,0.7398102879524231,0.25585800409317017,3.0994415283203125e-06,0.0036890506744384766
Minvalue,Minvalue,0.03285793281475827,0.9986077284050399,0.001394212717724358,0.9180555555555555,0.08195768516324882,0.010883845612967466,0.5255325292045233,0.14618608355522156,0.02090880461037159,2.6226043701171875e-06,0.0033049583435058594
Avgvalue,Avgvalue,0.011900249780903918,0.9874304354581837,0.012729569689619876,0.5361111111111111,0.058933621774978344,0.005846763626453966,0.387095591592688,0.24264295399188995,0.03190473094582558,4.76837158203125e-06,0.00677180290222168
Quantile,Quantile,0.03901797658077838,0.9890513616568283,0.011069837995905411,0.6236111111111111,0.11984888169116394,0.026877973916939604,1.003731799977301,0.3073900043964386,0.06998323649168015,3.0994415283203125e-06,1.1074309349060059
