method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.02354426603773009,0.9845346099224902,0.015708325458185235,0.5555555555555556,0.07239633988662017,0.01874117704228656,0.2871307777653056,0.2284785658121109,0.06583086401224136,3.0994415283203125e-06,0.0062601566314697266
Icebreaker,Icebreaker,0.0007066274405226432,0.7711711054798739,0.29672908242293683,0.025,0.5485817859423103,0.390039101628772,2.680655695618101,2.8208651542663574,1.9618135690689087,2.86102294921875e-06,0.0075647830963134766
SmartPred,SmartPred,0.007584357404158476,0.9601573404882787,0.041495969287136746,0.09583333333333334,0.09052232929026154,0.016361487041606632,0.5406257985654855,0.5358949899673462,0.12243067473173141,1.255699872970581,1.2291061878204346
NHITS,NHITS,0.045105132365060176,0.97486419952268,0.02578389942889191,0.5520833333333334,0.13074567167170173,0.030413126551207727,0.8212962812082208,0.38159337639808655,0.09953784197568893,3.4501161575317383,0.12939906120300293
NBEATS,NBEATS,0.06093648178316827,0.9700799009073513,0.030842922386767602,0.5770833333333333,0.1692752678398213,0.04694859185543232,0.7091700547068882,0.460931658744812,0.13045911490917206,3.085226058959961,0.08780169486999512
DLinear,DLinear,0.09713633309257128,0.9619200151897391,0.03958747526710898,0.5944444444444444,0.25216942177258683,0.10365147598355173,0.8224868813913359,0.633016049861908,0.2360880970954895,1.8546838760375977,0.0700991153717041
Movingavg,Movingavg,0.02968471619177017,0.9708887709310821,0.029984103164566695,0.47708333333333336,0.11005143767906958,0.0231934842239816,0.5594162832459705,0.37654343247413635,0.08894293010234833,3.814697265625e-06,0.011513948440551758
Movingmax,Movingmax,0.002176700248462227,0.9285547279682946,0.07694244601826515,0.07361111111111111,0.14592505580838566,0.040689126554879884,2.1639111518983922,0.7828155755996704,0.2504599690437317,6.198883056640625e-06,0.009938955307006836
Movingmin,Movingmin,0.051618931542668695,0.9984775409813905,0.001524780434333123,0.8611111111111112,0.09801671911328544,0.023556363796223993,0.7569214724438423,0.19868680834770203,0.06671787798404694,2.86102294921875e-06,0.009483098983764648
Maxvalue,Maxvalue,0.009425560826493536,0.883940281474329,0.13129814418242636,0.1388888888888889,0.25954671499817783,0.12241388559433455,1.1849047787080704,1.3254719972610474,0.6443925499916077,3.0994415283203125e-06,0.005507230758666992
Minvalue,Minvalue,0.07721064475418075,0.9986662588318276,0.0013355224093908402,0.8951388888888889,0.14486826978944692,0.07523462493787496,0.40593742692821055,0.22803594172000885,0.11931440234184265,3.0994415283203125e-06,0.005174875259399414
Avgvalue,Avgvalue,0.026521065916674014,0.9646736002217489,0.03662005446207953,0.3326388888888889,0.11645564885156491,0.02713736667277708,0.44481987172698406,0.434681236743927,0.09421823173761368,3.0994415283203125e-06,0.007863044738769531
Quantile,Quantile,0.08285921871610766,0.9697131316553759,0.0312328124224967,0.7111111111111111,0.21042802907738656,0.08390680620415356,0.9526347713258155,0.5262293815612793,0.2504853904247284,4.0531158447265625e-06,1.5596022605895996
