method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.09408512436405954,0.9508044423445196,0.05174098422823092,0.4847222222222222,0.29845835739373483,0.19035185203428165,0.9211214898257348,0.913480818271637,0.5563490390777588,2.1457672119140625e-06,0.006270885467529297
Icebreaker,Icebreaker,0.03987694167147016,0.7942179878364399,0.25910016559073407,0.14305555555555555,0.6119083694490456,0.4684132535018214,2.430777745379059,2.7293081283569336,2.088151216506958,2.1457672119140625e-06,0.008612871170043945
SmartPred,SmartPred,0.00918213783764794,0.8653879423840672,0.1555511130015141,0.11527777777777778,0.3371550947097394,0.21299990293241072,1.4647939832459536,1.8846021890640259,1.2895853519439697,1.26615309715271,1.289306879043579
NHITS,NHITS,0.08852060260786343,0.9517248412373964,0.05072386121585102,0.5277777777777778,0.28498788282960646,0.15896593993574804,1.0057596439082652,0.8321569561958313,0.49131637811660767,3.4288337230682373,0.13125085830688477
NBEATS,NBEATS,0.07628874614373572,0.8938390406299326,0.11876966046957468,0.32013888888888886,0.399220771888071,0.27447554596100554,1.0995109507837808,1.4442169666290283,0.9365813136100769,3.0675721168518066,0.09097695350646973
DLinear,DLinear,0.12631437446708269,0.9282395232046624,0.0773081462288862,0.4951388888888889,0.416748712846772,0.3248362375083234,1.3480446426535024,1.2099640369415283,0.9140370488166809,1.8659310340881348,0.07111406326293945
Movingavg,Movingavg,0.05474775968219786,0.9477643450931392,0.055114602250338984,0.43472222222222223,0.22485232855973247,0.12331081522651523,0.8931192665529856,0.8534764051437378,0.4822346568107605,3.0994415283203125e-06,0.011330127716064453
Movingmax,Movingmax,0.004536674388349008,0.8330368301397829,0.20042711656842452,0.05416666666666667,0.4194938544591018,0.35841599308965905,2.106399929257175,2.390982151031494,2.2162866592407227,2.86102294921875e-06,0.009674072265625
Movingmin,Movingmin,0.15696451652392246,0.9977073258440874,0.0022979425894993424,0.9340277777777778,0.32595817306196506,0.22284401025360243,1.3513167345926353,0.6224256157875061,0.5844759345054626,3.0994415283203125e-06,0.009329795837402344
Maxvalue,Maxvalue,0.014352742646172527,0.8886117300612677,0.12535088854954946,0.13333333333333333,0.28592764828684236,0.1436338034414738,1.6285929296953077,1.4837719202041626,0.8113622069358826,3.0994415283203125e-06,0.0055048465728759766
Minvalue,Minvalue,0.13217211261046513,0.9875206623842976,0.01263703949806167,0.7534722222222222,0.29637698002849494,0.2099001096779109,0.8703704433874732,0.6449520587921143,0.5332781672477722,7.152557373046875e-06,0.0053250789642333984
Avgvalue,Avgvalue,0.044759598315875976,0.9560327071271179,0.04598931871797986,0.425,0.18573335717892733,0.07709806723294005,0.8973460129085948,0.7265101075172424,0.3449563682079315,2.1457672119140625e-06,0.008096933364868164
Quantile,Quantile,0.14175415719721685,0.9244558100033734,0.0817174700825895,0.47430555555555554,0.4573733431268568,0.4158239023296038,1.574492978760453,1.337781548500061,1.0824178457260132,9.059906005859375e-06,1.406670093536377
